Wo 9846               HIP 18        00 00 12.68 -04 03 13.3  -0.123   0.024 J00001269-0403133  8.599  7.999  7.851 c       Hipparcos
GJ 1293               Wo 9847       00 01 25.84 -16 56 54.4   0.298  -0.258 J00012581-1656541  8.017  7.408  7.217         Hipparcos
Wo 9848               HIP 149       00 01 54.68 +26 00 14.6  -0.310  -0.631 J00015470+2600153  9.372  8.859  8.743         Hipparcos
GJ 4388               HIP 150       00 01 55.27 -37 13 47.8  -0.020  -0.046 J00015527-3713479  5.186  4.665  4.447         Hipparcos
GJ 1294 A             HIP 169 A     00 02 08.73 -68 16 50.8   0.195  -0.210 J00020875-6816509  6.736  6.113  5.896         Hipparcos
GJ 1294 B             HIP 169 B     00 02 09.35 -68 16 53.2   0.195  -0.210 J00020939-6816534    ---  6.629    ---         Hipparcos
Gl 914 AB             HIP 171       00 02 10.15 +27 04 56.1   0.830  -0.989 J00021014+2704570  4.702  4.179  4.068 e,f     Hipparcos
Gl 915                              00 02 10.73 -43 09 55.6   0.616  -0.677 J00021076-4309560 12.597 12.425 12.445         2MASS
GJ 3001                             00 02 40.10 -34 13 39.5   0.150  -0.743 J00024008-3413386 14.117 14.024 13.919         2MASS
GJ 1001 B                           00 04 34.86 -40 44 06.3   0.697  -1.460 J00043484-4044058 13.109 12.055 11.396 c,d,h   2MASS
GJ 1001 A                           00 04 36.46 -40 44 02.5   0.697  -1.460 J00043643-4044020  8.601  8.043  7.737 d,h     2MASS
GJ 3002               HIP 394       00 04 53.76 +34 39 35.3   0.769   0.096 J00045378+3439355  5.117  4.497  4.438         Hipparcos
GJ 3003               HIP 400       00 04 56.32 +23 16 10.7   0.382  -0.007 J00045634+2316106  6.398  6.027  5.932         Hipparcos
Gl 2                  HIP 428       00 05 10.89 +45 47 11.6   0.870  -0.151 J00051079+4547116  6.704  6.098  5.853         Hipparcos
Gl 3                  HIP 436       00 05 17.69 -67 49 57.3  -0.118  -0.559 J00051767-6749577  6.440  5.885  5.714         Hipparcos
GJ 3004               HIP 437       00 05 17.88 +48 28 37.8  -0.004  -0.010 J00051787+4828377  6.591  6.185  6.025         Hipparcos
Gl 1                  HIP 439       00 05 24.43 -37 21 26.5   5.639  -2.341 J00052423-3721257  5.328  4.828  4.523         Hipparcos
GJ 3005                             00 05 24.99 -50 02 53.0  -0.166   0.017 J00052498-5002529  8.553  7.908  7.627         2MASS
Gl 4 B                HIP 473 B     00 05 41.00 +45 48 37.4   0.879  -0.154 J00054090+4548374  6.142  4.708  5.284         Hipparcos
Gl 4 A                HIP 473 A     00 05 41.01 +45 48 43.5   0.879  -0.154 J00054091+4548435  6.100    ---  5.262         Hipparcos
Gl 4.1 B              Wo 9001 B     00 06 15.71 +58 26 13.5   0.271   0.030 J00061575+5826128  4.871  4.420  4.329 f       Hipparcos
Gl 4.1 A              Wo 9001 A     00 06 15.81 +58 26 12.2   0.271   0.030 J00061575+5826128  4.871  4.420  4.329 f       Hipparcos
Gl 4.2 AB             Wo 9002 AB    00 06 19.18 -49 04 30.7   0.575  -0.037 J00061921-4904307  4.690  4.646  4.474 e,f     Hipparcos
GJ 3006               HIP 523       00 06 19.18 -65 50 25.9   0.196  -0.553 J00061920-6550262  8.479  7.839  7.631         Hipparcos
Gl 5                  HIP 544       00 06 36.78 +29 01 17.4   0.381  -0.178 J00063674+2901175  4.733  4.629  4.314         Hipparcos
GJ 1002                             00 06 43.19 -07 32 17.0  -0.817  -1.870 J00064325-0732147  8.323  7.792  7.439         2MASS
GJ 1003                             00 07 26.71 +29 14 32.7   1.505  -1.143 J00072670+2914327 10.218  9.739  9.464         2MASS
Wo 9003               HIP 616       00 07 32.54 -23 49 07.4   0.323   0.090 J00073250-2349075  7.212  6.825  6.685         Hipparcos
GJ 3007                             00 07 59.11 +08 00 19.4  -0.368  -0.403 J00075909+0800190  9.392  8.911  8.652         2MASS
GJ 3009                             00 08 17.37 -57 05 52.9  -0.366  -0.038 J00081737-5705528  8.206  7.630  7.395         2MASS
GJ 3008               HIP 687       00 08 27.28 +17 25 27.5  -0.089  -0.065 J00082730+1725274  7.807  7.165  6.980         Hipparcos
Gl 6                  HIP 699       00 08 40.94 +36 37 37.7  -0.115  -0.124                                                Hipparcos
GJ 3010                             00 08 53.92 +20 50 25.4  -0.059  -0.237 J00085391+2050252  8.870  8.264  8.010         2MASS
Gl 9 A                HIP 730 A     00 09 02.39 -54 00 07.0   0.047   0.013 J00090239-5400071  4.962  4.590  4.408 c,f     Hipparcos
Gl 9 B                HIP 730 B     00 09 02.41 -54 00 06.8   0.047   0.013 J00090239-5400071  4.962  4.590  4.408 c,f     Hipparcos
Gl 7                  HIP 738       00 09 04.36 -27 07 19.7   0.689   0.085 J00090428-2707196  8.655  8.143  7.856         Hipparcos
Gl 8                  HIP 746       00 09 10.69 +59 08 59.2   0.523  -0.180 J00091071+5908591  1.714  1.585  1.454         Hipparcos
Gl 9.1                Wo 9004       00 09 24.64 -45 44 50.7   0.117  -0.179 J00092467-4544506  2.190  1.756  1.617         Hipparcos
GJ 3011               HIP 897       00 11 04.61 -05 47 02.3   0.254   0.009 J00110458-0547023  7.976  7.314  7.119         Hipparcos
Gl 10                 HIP 910       00 11 15.86 -15 28 04.7  -0.083  -0.271 J00111587-1528043  4.153  3.800  3.821         Hipparcos
GJ 3012               HIP 916       00 11 21.15 +58 20 59.7   0.235   0.020 J00112111+5820596  7.189  6.593  6.474         Hipparcos
Gl 10.1               Wo 9005       00 11 33.08 -58 54 35.4   0.273  -0.005 J00113307-5854353  7.186  6.952  6.855         Hipparcos
GJ 3013               HIP 950       00 11 44.01 -35 07 59.2   0.169   0.115 J00114399-3507593  4.414  4.159  4.134         Hipparcos
GJ 1004                             00 12 14.75 +50 25 20.7  -0.422  -0.581 J00121479+5025213 13.490 13.249 13.191         2MASS
GJ 2001               HIP 1031      00 12 50.25 -57 54 45.4  -0.118   0.036 J00125025-5754454  5.852  5.470  5.383 c       Hipparcos
Gl 11 AB              HIP 1068      00 13 15.82 +69 19 36.8   0.717  -0.292 J00131578+6919372  8.556  7.984  7.746 c,e,f   Hipparcos
GJ 3014 A             HIP 1092      00 13 38.71 +80 39 56.8   0.253   0.185 J00133880+8039569  7.756  7.131  6.904         Hipparcos
GJ 3015 B                           00 13 42.98 +80 39 49.3   0.244   0.164 J00134305+8039494 10.936 10.370 10.059         2MASS
GJ 3016                             00 14 12.79 -13 11 01.0  -0.557  -0.721 J00141284-1310599 14.813 14.549 14.628         2MASS
GJ 2002               HIP 1144 A    00 14 20.20 -27 31 53.2  -0.014  -0.152 J00142021-2731532  6.252  5.975  5.865 c       Hipparcos
GJ 1005 AB            HIP 1242      00 15 28.11 -16 08 01.7   0.728  -0.617 J00152799-1608008  7.215  6.712  6.390 e,f     Hipparcos
GJ 3017                             00 15 36.71 -29 46 00.5   0.092  -0.092 J00153670-2946003  9.775  9.254  8.896         2MASS
GJ 3019 B                           00 15 43.46 -67 59 36.2   0.610  -0.150 J00154354-6759362  8.804  8.257  8.020         2MASS
Gl 12                               00 15 49.25 +13 33 22.3   0.618   0.319 J00154919+1333218  8.619  8.068  7.807         2MASS
GJ 3018 A                           00 15 51.48 -67 59 51.8   0.610  -0.150 J00155156-6759519  7.795  7.211  6.949         2MASS
GJ 3020               HIP 1276      00 16 01.99 -48 15 39.1  -0.056  -0.243 J00160199-4815392  7.969  7.357  7.112         Hipparcos
GJ 3021               HIP 1292      00 16 12.68 -79 51 04.3   0.434  -0.058 J00161266-7951042  5.366  4.990  4.859         Hipparcos
GJ 1006 A             HIP 1295      00 16 14.63 +19 51 37.7   0.721  -0.753 J00161455+1951385  7.875  7.322  7.087         Hipparcos
GJ 1006 B                           00 16 16.14 +19 51 50.6   0.701  -0.765 J00161607+1951515  8.893  8.339  8.097         2MASS
Wo 9006                             00 16 21.46 +15 55 14.4   0.208   0.151 J00162143+1555141 11.338 10.726 10.537         2MASS
Gl 13                 HIP 1349      00 16 53.90 -52 39 04.1   0.313   0.181 J00165387-5239043  5.567  5.195  5.111         Hipparcos
GJ 1007                             00 16 56.30 +05 07 26.5  -0.055  -0.633 J00165629+0507261  9.398  8.869  8.587         2MASS
GJ 3022                             00 16 56.81 +20 03 55.2   0.243   0.026 J00165678+2003551  9.681  9.079  8.800         2MASS
Gl 14                 HIP 1368      00 17 06.38 +40 56 53.9   0.569   0.081 J00170635+4056538  6.385  5.748  5.577         Hipparcos
Gl 14.1               Wo 9007       00 17 16.53 -43 51 09.8   0.396  -0.016 J00171653-4351097  6.766  6.480  6.384 c       Hipparcos
